assumption_name,value,unit,provenance,rationale,owner_role,status,effective_date,notes
launch_sku,HIS-001,id,SYNTHETIC PLANNING ASSUMPTION,Synthetic launch product for the case study,Demand Planning,FROZEN,2026-08-31,
product_name,Hybrid Insulated Shell,text,SYNTHETIC PLANNING ASSUMPTION,Premium technical outerwear: insulation + weather protection,Demand Planning,FROZEN,2026-08-31,
launch_date,2026-08-31,date,SYNTHETIC PLANNING ASSUMPTION,Start of fall build; gives 13-wk window into the early-Dec peak and an 18-mo horizon spanning two FW seasons,Demand Planning,FROZEN,2026-08-31,
launch_season,FALL/WINTER (FW26),text,SYNTHETIC PLANNING ASSUMPTION,Cold / transitional use case,Demand Planning,FROZEN,2026-08-31,
launch_channels,ECOM|RETAIL|WHOLESALE,list,SYNTHETIC PLANNING ASSUMPTION,Full-channel launch with a DTC-led weighting (see channel mix),Sales/Channel,FROZEN,2026-08-31,
his_msrp_cad,750.0,CAD,SYNTHETIC PLANNING ASSUMPTION,Mid-premium position between IMH (400) and APS (800),Merchandising,FROZEN,2026-08-31,
his_weather_sensitivity,0.255,index,SYNTHETIC PLANNING ASSUMPTION,Intentional position between APS (0.292) and CTS/IMH (0.215) for a hybrid insulated shell,Demand Planning,FROZEN,2026-08-31,
functional_attribute_framework,insulation|weather_protection|shell_construction|technical_premium|cold_use,list,SYNTHETIC PLANNING ASSUMPTION,5 named product-attribute ratings frozen BEFORE scoring; drives functional similarity,Demand Planning,FROZEN,2026-08-31,
scoring_weights,func0.30|seas0.25|price0.15|weather0.15|scale0.10|channel0.05,weights,GOVERNANCE ASSUMPTION,"Principle-based, sum=1.00, not tuned to any HIS outcome; 0.55 of weight is data-derived",Demand Planning,FROZEN,2026-08-31,
selected_primary_analog,APS-001,id,DERIVED (frozen mature data) + planner review,"Top score (0.679) and STABLE across all sensitivity scenarios; anchors shell/weather, price, scale, FW seasonality",Demand Planning,FROZEN,2026-08-31,
selected_secondary_analog,IMH-001,id,DERIVED (frozen mature data) + planner override,Uniquely supplies INSULATION (0.95) - the defining half of an insulated shell - that APS lacks (0.20); shares APS's FW shape (corr 0.99),Demand Planning,FROZEN,2026-08-31,
excluded_candidate,CTS-001,id,DERIVED (frozen mature data) + planner review,Ranked #2 by score but is a redundant shell (insulation 0.15) that does NOT fill APS's insulation gap; adds no complementary information,Demand Planning,FROZEN,2026-08-31,
analog_blend_weight_primary,0.6,share,SYNTHETIC PLANNING ASSUMPTION,APS anchors price/scale/seasonality/positioning; kept primary,Demand Planning,FROZEN,2026-08-31,
analog_blend_weight_secondary,0.4,share,SYNTHETIC PLANNING ASSUMPTION,"Insulation is a co-equal defining attribute, so IMH gets substantial (not token) weight",Demand Planning,FROZEN,2026-08-31,
analytical_channel_mix_ecom,0.408,share,DERIVED (frozen mature data),Blended analog channel mix (identical across mature SKUs),Demand Planning,FROZEN,2026-08-31,
analytical_channel_mix_retail,0.324,share,DERIVED (frozen mature data),Blended analog channel mix,Demand Planning,FROZEN,2026-08-31,
analytical_channel_mix_wholesale,0.268,share,DERIVED (frozen mature data),Blended analog channel mix; low discriminatory value for selection but relevant for allocation,Demand Planning,FROZEN,2026-08-31,
commercial_channel_mix_ecom,0.45,share,SYNTHETIC PLANNING ASSUMPTION,DTC-led premium launch: shift toward ECOM,Merchandising,FROZEN,2026-08-31,
