week_start,launch_week_number,sku_id,channel_id,lifecycle_phase,launch_scenario,weather_scenario,pre_weather_units,weather_adjustment_pct,weather_adjusted_units,analytical_baseline_units,launch_checkpoint_flag,launch_checkpoint_name,forecast_version,provenance
2026-08-31,1,HIS-001,ECOM,LAUNCH,LOW,NORMAL,95.45,0.0,95.45,95.45,1,W1,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-08-31,1,HIS-001,ECOM,LAUNCH,BASE,NORMAL,127.27,0.0,127.27,127.27,1,W1,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-08-31,1,HIS-001,ECOM,LAUNCH,HIGH,NORMAL,159.09,0.0,159.09,159.09,1,W1,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-08-31,1,HIS-001,ECOM,LAUNCH,BASE,MILD,127.27,0.0,127.27,127.27,1,W1,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-08-31,1,HIS-001,ECOM,LAUNCH,BASE,SEVERE,127.27,0.0,127.27,127.27,1,W1,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-08-31,1,HIS-001,RETAIL,LAUNCH,LOW,NORMAL,74.24,0.0,74.24,74.24,1,W1,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-08-31,1,HIS-001,RETAIL,LAUNCH,BASE,NORMAL,98.99,0.0,98.99,98.99,1,W1,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-08-31,1,HIS-001,RETAIL,LAUNCH,HIGH,NORMAL,123.74,0.0,123.74,123.74,1,W1,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-08-31,1,HIS-001,RETAIL,LAUNCH,BASE,MILD,98.99,0.0,98.99,98.99,1,W1,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-08-31,1,HIS-001,RETAIL,LAUNCH,BASE,SEVERE,98.99,0.0,98.99,98.99,1,W1,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-08-31,1,HIS-001,WHOLESALE,LAUNCH,LOW,NORMAL,42.42,0.0,42.42,42.42,1,W1,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-08-31,1,HIS-001,WHOLESALE,LAUNCH,BASE,NORMAL,56.57,0.0,56.57,56.57,1,W1,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-08-31,1,HIS-001,WHOLESALE,LAUNCH,HIGH,NORMAL,70.71,0.0,70.71,70.71,1,W1,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-08-31,1,HIS-001,WHOLESALE,LAUNCH,BASE,MILD,56.57,0.0,56.57,56.57,1,W1,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-08-31,1,HIS-001,WHOLESALE,LAUNCH,BASE,SEVERE,56.57,0.0,56.57,56.57,1,W1,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-07,2,HIS-001,ECOM,LAUNCH,LOW,NORMAL,100.76,0.0,100.76,100.76,1,W2,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-07,2,HIS-001,ECOM,LAUNCH,BASE,NORMAL,134.34,0.0,134.34,134.34,1,W2,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-07,2,HIS-001,ECOM,LAUNCH,HIGH,NORMAL,167.93,0.0,167.93,167.93,1,W2,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-07,2,HIS-001,ECOM,LAUNCH,BASE,MILD,134.34,0.0,134.34,134.34,1,W2,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-07,2,HIS-001,ECOM,LAUNCH,BASE,SEVERE,134.34,0.0,134.34,134.34,1,W2,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-07,2,HIS-001,RETAIL,LAUNCH,LOW,NORMAL,78.37,0.0,78.37,78.37,1,W2,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-07,2,HIS-001,RETAIL,LAUNCH,BASE,NORMAL,104.49,0.0,104.49,104.49,1,W2,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-07,2,HIS-001,RETAIL,LAUNCH,HIGH,NORMAL,130.61,0.0,130.61,130.61,1,W2,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-07,2,HIS-001,RETAIL,LAUNCH,BASE,MILD,104.49,0.0,104.49,104.49,1,W2,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-07,2,HIS-001,RETAIL,LAUNCH,BASE,SEVERE,104.49,0.0,104.49,104.49,1,W2,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-07,2,HIS-001,WHOLESALE,LAUNCH,LOW,NORMAL,44.78,0.0,44.78,44.78,1,W2,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-07,2,HIS-001,WHOLESALE,LAUNCH,BASE,NORMAL,59.71,0.0,59.71,59.71,1,W2,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-07,2,HIS-001,WHOLESALE,LAUNCH,HIGH,NORMAL,74.64,0.0,74.64,74.64,1,W2,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-07,2,HIS-001,WHOLESALE,LAUNCH,BASE,MILD,59.71,0.0,59.71,59.71,1,W2,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-07,2,HIS-001,WHOLESALE,LAUNCH,BASE,SEVERE,59.71,0.0,59.71,59.71,1,W2,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-14,3,HIS-001,ECOM,LAUNCH,LOW,NORMAL,106.06,0.0,106.06,106.06,0,,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-14,3,HIS-001,ECOM,LAUNCH,BASE,NORMAL,141.41,0.0,141.41,141.41,0,,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-14,3,HIS-001,ECOM,LAUNCH,HIGH,NORMAL,176.77,0.0,176.77,176.77,0,,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-14,3,HIS-001,ECOM,LAUNCH,BASE,MILD,141.41,0.0,141.41,141.41,0,,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-14,3,HIS-001,ECOM,LAUNCH,BASE,SEVERE,141.41,0.0,141.41,141.41,0,,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-14,3,HIS-001,RETAIL,LAUNCH,LOW,NORMAL,82.49,0.0,82.49,82.49,0,,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-14,3,HIS-001,RETAIL,LAUNCH,BASE,NORMAL,109.99,0.0,109.99,109.99,0,,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-14,3,HIS-001,RETAIL,LAUNCH,HIGH,NORMAL,137.49,0.0,137.49,137.49,0,,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-14,3,HIS-001,RETAIL,LAUNCH,BASE,MILD,109.99,0.0,109.99,109.99,0,,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-14,3,HIS-001,RETAIL,LAUNCH,BASE,SEVERE,109.99,0.0,109.99,109.99,0,,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-14,3,HIS-001,WHOLESALE,LAUNCH,LOW,NORMAL,47.14,0.0,47.14,47.14,0,,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-14,3,HIS-001,WHOLESALE,LAUNCH,BASE,NORMAL,62.85,0.0,62.85,62.85,0,,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-14,3,HIS-001,WHOLESALE,LAUNCH,HIGH,NORMAL,78.56,0.0,78.56,78.56,0,,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-14,3,HIS-001,WHOLESALE,LAUNCH,BASE,MILD,62.85,0.0,62.85,62.85,0,,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-14,3,HIS-001,WHOLESALE,LAUNCH,BASE,SEVERE,62.85,0.0,62.85,62.85,0,,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-21,4,HIS-001,ECOM,LAUNCH,LOW,NORMAL,111.36,0.0,111.36,111.36,1,W4,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-21,4,HIS-001,ECOM,LAUNCH,BASE,NORMAL,148.48,0.0,148.48,148.48,1,W4,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-21,4,HIS-001,ECOM,LAUNCH,HIGH,NORMAL,185.61,0.0,185.61,185.61,1,W4,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-21,4,HIS-001,ECOM,LAUNCH,BASE,MILD,148.48,-0.04,142.55,142.55,1,W4,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-21,4,HIS-001,ECOM,LAUNCH,BASE,SEVERE,148.48,0.056,156.8,156.8,1,W4,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-21,4,HIS-001,RETAIL,LAUNCH,LOW,NORMAL,86.62,0.0,86.62,86.62,1,W4,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-21,4,HIS-001,RETAIL,LAUNCH,BASE,NORMAL,115.49,0.0,115.49,115.49,1,W4,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-21,4,HIS-001,RETAIL,LAUNCH,HIGH,NORMAL,144.36,0.0,144.36,144.36,1,W4,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-21,4,HIS-001,RETAIL,LAUNCH,BASE,MILD,115.49,-0.04,110.87,110.87,1,W4,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-21,4,HIS-001,RETAIL,LAUNCH,BASE,SEVERE,115.49,0.056,121.96,121.96,1,W4,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-21,4,HIS-001,WHOLESALE,LAUNCH,LOW,NORMAL,49.49,0.0,49.49,49.49,1,W4,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
2026-09-21,4,HIS-001,WHOLESALE,LAUNCH,BASE,NORMAL,65.99,0.0,65.99,65.99,1,W4,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
