section,metric,rule_or_target,actual,status,note
Structure,row_count,"21,060","21,060",PASS,
Structure,source_inventory_file,Step 3C v5 only,DemandIQ_Step3C_v5_Seasonal_Buy_Inventory.csv,PASS,No older Step 3C or Step 3D file was read
Structure,inventory_value_basis,"proxy, not COGS",FULL_PRICE_CHANNEL_REALIZED_VALUE_PROXY_NOT_COGS,PASS,Inventory figures are exposure proxies and do not represent accounting profit or Arc'teryx margin
Structure,series x plan years,81 x 5,81 x 5,PASS,
Reconciliation,FIFO age buckets sum to ending_inventory_units,max abs error < 1e-6,1.13e-10,PASS,Holds on every row
Reconciliation,net revenue = gross shipped - returns,max abs error < 0.02,0.0000,PASS,
Reconciliation,net_asp = MSRP x (1-markdown) x realisation,max abs error < 0.01,0.0001,PASS,
Reconciliation,two-sided exposure = under + over,max abs error < 0.02,0.0000,PASS,
Reconciliation,final-week ending inventory vs bucket total,"9,563 units","9,563 units",PASS,
Reconciliation,negative age-bucket rows,0,0,PASS,
Inventory aging,rows with 9–16 weeks inventory > 0,>0,"534 rows (29,023 unit-weeks)",PASS,
Inventory aging,rows with 17–26 weeks inventory > 0,>0,"39 rows (3,858 unit-weeks)",PASS,
Inventory aging,rows with 27+ weeks inventory > 0,>0,4 rows (274 unit-weeks),PASS,
Inventory aging,rows with aged inventory (9w+) > 0,>0,534 rows,PASS,
Inventory aging,mean avg_inventory_age_weeks,-,1.78,INFO,
Inventory aging,max avg_inventory_age_weeks,-,27.3,INFO,
Inventory aging,share of ending inventory aged 9w+,-,1.27%,INFO,
Event exposure,liquidation_event_cad > 0 somewhere,>0,1 rows / 0.001M,PASS,
Event exposure,obsolescence_event_cad > 0 somewhere,>0,384 rows / 0.582M,PASS,
Event exposure,season_end_markdown_event_cad > 0 somewhere,>0,6 rows / 0.003M,PASS,
Event exposure,season-end recognition rows,405 (81 series x 5 plan years),405,PASS,Events recognised once per plan year on plan_week 52
