planning_cycle,forecast_as_of_date,planning_month,month_index,horizon_month_number,sku_id,channel_id,lifecycle_phase,launch_scenario,weather_scenario,pre_weather_units,weather_adjustment_pct,weather_adjusted_units,analytical_baseline_units,forecast_version,provenance
CYCLE_01_2026-08,2026-08-24,2026-09,1,1,HIS-001,ECOM,LAUNCH,BASE,MILD,551.5,-0.0108,545.57,545.57,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-09,1,1,HIS-001,ECOM,LAUNCH,BASE,NORMAL,551.5,0.0,551.5,551.5,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-09,1,1,HIS-001,ECOM,LAUNCH,BASE,SEVERE,551.5,0.0151,559.82,559.82,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-09,1,1,HIS-001,ECOM,LAUNCH,HIGH,NORMAL,689.4,0.0,689.4,689.4,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-09,1,1,HIS-001,ECOM,LAUNCH,LOW,NORMAL,413.63,0.0,413.63,413.63,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-09,1,1,HIS-001,RETAIL,LAUNCH,BASE,MILD,428.96,-0.0108,424.34,424.34,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-09,1,1,HIS-001,RETAIL,LAUNCH,BASE,NORMAL,428.96,0.0,428.96,428.96,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-09,1,1,HIS-001,RETAIL,LAUNCH,BASE,SEVERE,428.96,0.0151,435.43,435.43,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-09,1,1,HIS-001,RETAIL,LAUNCH,HIGH,NORMAL,536.2,0.0,536.2,536.2,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
CYCLE_01_2026-08,2026-08-24,2026-09,1,1,HIS-001,RETAIL,LAUNCH,LOW,NORMAL,321.72,0.0,321.72,321.72,V0_ANALYTICAL_BASELINE,"DERIVED: FROZEN MATURE ANALOG DATA (APS-001, IMH-001) + SYNTHETIC PLANNING ASSUMPTIONS"
