planning_month,month_index,lifecycle_phase,season,notes,provenance
2026-08,0,PRE-LAUNCH,SUMMER,"Pre-launch prep; context only, outside the 18-month strategic horizon",SYNTHETIC PLANNING ASSUMPTION (lifecycle structure; no forecast units)
2026-09,1,LAUNCH,FALL,On-sale 2026-08-31; first demand signal begins,SYNTHETIC PLANNING ASSUMPTION (lifecycle structure; no forecast units)
2026-10,2,RAMP,FALL,Adoption climbs toward the borrowed Fall/Winter analog shape,SYNTHETIC PLANNING ASSUMPTION (lifecycle structure; no forecast units)
2026-11,3,RAMP,FALL,Adoption climbs toward the borrowed Fall/Winter analog shape,SYNTHETIC PLANNING ASSUMPTION (lifecycle structure; no forecast units)
2026-12,4,SEASONAL PEAK,WINTER,"Cold-season peak (analog peaks ISO wk49, early Dec)",SYNTHETIC PLANNING ASSUMPTION (lifecycle structure; no forecast units)
2027-01,5,NORMALIZATION,WINTER,Post-peak settle and off-season trough,SYNTHETIC PLANNING ASSUMPTION (lifecycle structure; no forecast units)
2027-02,6,NORMALIZATION,WINTER,Post-peak settle and off-season trough,SYNTHETIC PLANNING ASSUMPTION (lifecycle structure; no forecast units)
2027-03,7,NORMALIZATION,SPRING,Post-peak settle and off-season trough,SYNTHETIC PLANNING ASSUMPTION (lifecycle structure; no forecast units)
2027-04,8,NORMALIZATION,SPRING,Post-peak settle and off-season trough,SYNTHETIC PLANNING ASSUMPTION (lifecycle structure; no forecast units)
2027-05,9,NORMALIZATION,SPRING,Post-peak settle and off-season trough,SYNTHETIC PLANNING ASSUMPTION (lifecycle structure; no forecast units)
2027-06,10,NORMALIZATION,SUMMER,Post-peak settle and off-season trough,SYNTHETIC PLANNING ASSUMPTION (lifecycle structure; no forecast units)
2027-07,11,SECOND-SEASON / MATURATION,SUMMER,Second Fall/Winter build; maturing toward mature-engine handoff,SYNTHETIC PLANNING ASSUMPTION (lifecycle structure; no forecast units)
2027-08,12,SECOND-SEASON / MATURATION,SUMMER,Second Fall/Winter build; maturing toward mature-engine handoff,SYNTHETIC PLANNING ASSUMPTION (lifecycle structure; no forecast units)
2027-09,13,SECOND-SEASON / MATURATION,FALL,Second Fall/Winter build; maturing toward mature-engine handoff,SYNTHETIC PLANNING ASSUMPTION (lifecycle structure; no forecast units)
2027-10,14,SECOND-SEASON / MATURATION,FALL,Second Fall/Winter build; maturing toward mature-engine handoff,SYNTHETIC PLANNING ASSUMPTION (lifecycle structure; no forecast units)
2027-11,15,SECOND-SEASON / MATURATION,FALL,Second Fall/Winter build; maturing toward mature-engine handoff,SYNTHETIC PLANNING ASSUMPTION (lifecycle structure; no forecast units)
2027-12,16,SECOND-SEASON / MATURATION,WINTER,Second Fall/Winter build; maturing toward mature-engine handoff,SYNTHETIC PLANNING ASSUMPTION (lifecycle structure; no forecast units)
2028-01,17,SECOND-SEASON / MATURATION,WINTER,Second Fall/Winter build; maturing toward mature-engine handoff,SYNTHETIC PLANNING ASSUMPTION (lifecycle structure; no forecast units)
2028-02,18,SECOND-SEASON / MATURATION,WINTER,Second Fall/Winter build; maturing toward mature-engine handoff,SYNTHETIC PLANNING ASSUMPTION (lifecycle structure; no forecast units)
